quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
The application of digital technology to humanities research and teaching.,Dot Porter,2012-01-01,86,the application of digital technology to humanities research and teaching.,"['the', 'application', 'of', 'digital', 'technology', 'to', 'humanities', 'research', 'and', 'teaching', '.']",2012,11,0,0.0
"Each year that I've been asked this question, it's become harder and harder to answer. My current answer, I think, is that Digital Humanities IS the humanities as it is practiced, modeled, and theorized today.",Lauren Klein,2012-01-01,87,"each year that i've been asked this question, it's become harder and harder to answer. my current answer, i think, is that digital humanities is the humanities as it is practiced, modeled, and theorized today.","['each', 'year', 'that', 'i', ""'ve"", 'been', 'asked', 'this', 'question', ',', 'it', ""'s"", 'become', 'harder', 'and', 'harder', 'to', 'answer', '.', 'my', 'current', 'answer', ',', 'i', 'think', ',', 'is', 'that', 'digital', 'humanities', 'is', 'the', 'humanities', 'as', 'it', 'is', 'practiced', ',', 'modeled', ',', 'and', 'theorized', 'today', '.']",2012,44,0,0.0
What sits at the intersection of computational method and the traditional pursuits of the humanities.,Ray Siemens,2012-01-01,88,what sits at the intersection of computational method and the traditional pursuits of the humanities.,"['what', 'sits', 'at', 'the', 'intersection', 'of', 'computational', 'method', 'and', 'the', 'traditional', 'pursuits', 'of', 'the', 'humanities', '.']",2012,16,0,0.0
"Cross-disciplinary projects coined by a new generation of humanists as model users, who are asking and creating novel applications and solutions from and with more geeky and technical disciplines, with excellent innovative outcomes, connecting contemporary and fashionable technology with scientific research.",Mona Hess,2012-01-01,89,"cross-disciplinary projects coined by a new generation of humanists as model users, who are asking and creating novel applications and solutions from and with more geeky and technical disciplines, with excellent innovative outcomes, connecting contemporary and fashionable technology with scientific research.","['cross-disciplinary', 'projects', 'coined', 'by', 'a', 'new', 'generation', 'of', 'humanists', 'as', 'model', 'users', ',', 'who', 'are', 'asking', 'and', 'creating', 'novel', 'applications', 'and', 'solutions', 'from', 'and', 'with', 'more', 'geeky', 'and', 'technical', 'disciplines', ',', 'with', 'excellent', 'innovative', 'outcomes', ',', 'connecting', 'contemporary', 'and', 'fashionable', 'technology', 'with', 'scientific', 'research', '.']",2012,45,0,0.0
"The phrase seems to say it for itself,'something related to the humanities going digital. That means anything within the realm of the humanities,'language, history, philosophy, literature, and the arts,'is fair game. In its most basic form, it is still transferring such topics into a digital medium, but more so for the purpose of uncovering or gaining some new information or perspective on the subject being presented. It could come in the form of visually condensing text in order to both give a general idea of the contents and to provide a quicker delivery of knowledge, or by laying out information in some other visual manner so that patterns can be used to quickly pick up on details that provide certain insight into the subject matter.",Iris,2012-01-01,90,"the phrase seems to say it for itself,'something related to the humanities going digital. that means anything within the realm of the humanities,'language, history, philosophy, literature, and the arts,'is fair game. in its most basic form, it is still transferring such topics into a digital medium, but more so for the purpose of uncovering or gaining some new information or perspective on the subject being presented. it could come in the form of visually condensing text in order to both give a general idea of the contents and to provide a quicker delivery of knowledge, or by laying out information in some other visual manner so that patterns can be used to quickly pick up on details that provide certain insight into the subject matter.","['the', 'phrase', 'seems', 'to', 'say', 'it', 'for', 'itself', ',', ""'something"", 'related', 'to', 'the', 'humanities', 'going', 'digital', '.', 'that', 'means', 'anything', 'within', 'the', 'realm', 'of', 'the', 'humanities', ',', ""'language"", ',', 'history', ',', 'philosophy', ',', 'literature', ',', 'and', 'the', 'arts', ',', ""'is"", 'fair', 'game', '.', 'in', 'its', 'most', 'basic', 'form', ',', 'it', 'is', 'still', 'transferring', 'such', 'topics', 'into', 'a', 'digital', 'medium', ',', 'but', 'more', 'so', 'for', 'the', 'purpose', 'of', 'uncovering', 'or', 'gaining', 'some', 'new', 'information', 'or', 'perspective', 'on', 'the', 'subject', 'being', 'presented', '.', 'it', 'could', 'come', 'in', 'the', 'form', 'of', 'visually', 'condensing', 'text', 'in', 'order', 'to', 'both', 'give', 'a', 'general', 'idea', 'of', 'the', 'contents', 'and', 'to', 'provide', 'a', 'quicker', 'delivery', 'of', 'knowledge', ',', 'or', 'by', 'laying', 'out', 'information', 'in', 'some', 'other', 'visual', 'manner', 'so', 'that', 'patterns', 'can', 'be', 'used', 'to', 'quickly', 'pick', 'up', 'on', 'details', 'that', 'provide', 'certain', 'insight', 'into', 'the', 'subject', 'matter', '.']",2012,142,0,0.0
"DH is what critical theory is or was--an opportunity to ask new questions, try new methods, engage in new conversations.",ssenier,2012-01-01,91,"dh is what critical theory is or was--an opportunity to ask new questions, try new methods, engage in new conversations.","['dh', 'is', 'what', 'critical', 'theory', 'is', 'or', 'was', '--', 'an', 'opportunity', 'to', 'ask', 'new', 'questions', ',', 'try', 'new', 'methods', ',', 'engage', 'in', 'new', 'conversations', '.']",2012,25,0,0.0
The practice of undertaking digitally informed research and teaching in fields covered by the traditional humanities disciplines.,Kerry Kilner,2012-01-01,92,the practice of undertaking digitally informed research and teaching in fields covered by the traditional humanities disciplines.,"['the', 'practice', 'of', 'undertaking', 'digitally', 'informed', 'research', 'and', 'teaching', 'in', 'fields', 'covered', 'by', 'the', 'traditional', 'humanities', 'disciplines', '.']",2012,18,0,0.0
"The convergence between Humanities (human and social sciences) and Digital Technologies, either as new methodological and epistemological approaches or as the object of investigations of social, cultural and political concerns.",Henrique Parra,2012-01-01,93,"the convergence between humanities (human and social sciences) and digital technologies, either as new methodological and epistemological approaches or as the object of investigations of social, cultural and political concerns.","['the', 'convergence', 'between', 'humanities', '(', 'human', 'and', 'social', 'sciences', ')', 'and', 'digital', 'technologies', ',', 'either', 'as', 'new', 'methodological', 'and', 'epistemological', 'approaches', 'or', 'as', 'the', 'object', 'of', 'investigations', 'of', 'social', ',', 'cultural', 'and', 'political', 'concerns', '.']",2012,35,0,0.0
"With some reluctance, as many have said! Well, it's both a field and a suite of methods.",Michael Cade-Stewart,2012-01-01,94,"with some reluctance, as many have said! well, it's both a field and a suite of methods.","['with', 'some', 'reluctance', ',', 'as', 'many', 'have', 'said', '!', 'well', ',', 'it', ""'s"", 'both', 'a', 'field', 'and', 'a', 'suite', 'of', 'methods', '.']",2012,22,0,0.0
"A five ring circus consisting of tech in the classroom, digital preservation, scholarly communications, new media and computational methods.",Alex Gil,2012-01-01,95,"a five ring circus consisting of tech in the classroom, digital preservation, scholarly communications, new media and computational methods.","['a', 'five', 'ring', 'circus', 'consisting', 'of', 'tech', 'in', 'the', 'classroom', ',', 'digital', 'preservation', ',', 'scholarly', 'communications', ',', 'new', 'media', 'and', 'computational', 'methods', '.']",2012,23,0,0.0
"The pursuit of knowledge and inquiry in a cluster of subject areas (literatures, languages, linguistics, history, classics, anthropology, archaeology) with the use of some digital method.",Elizabeth (Lisa) McAulay,2012-01-01,96,"the pursuit of knowledge and inquiry in a cluster of subject areas (literatures, languages, linguistics, history, classics, anthropology, archaeology) with the use of some digital method.","['the', 'pursuit', 'of', 'knowledge', 'and', 'inquiry', 'in', 'a', 'cluster', 'of', 'subject', 'areas', '(', 'literatures', ',', 'languages', ',', 'linguistics', ',', 'history', ',', 'classics', ',', 'anthropology', ',', 'archaeology', ')', 'with', 'the', 'use', 'of', 'some', 'digital', 'method', '.']",2012,35,0,0.0
Application of digital tools to humanities research and pedagogy,Diane Jakacki,2012-01-01,97,application of digital tools to humanities research and pedagogy,"['application', 'of', 'digital', 'tools', 'to', 'humanities', 'research', 'and', 'pedagogy']",2012,9,1,0.1111111111111111
"DH is the application and the use of computing tecnologies for the research, teaching and investigation in the disciplines of the humanities.",Alí Albarrán,2012-01-01,98,"dh is the application and the use of computing tecnologies for the research, teaching and investigation in the disciplines of the humanities.","['dh', 'is', 'the', 'application', 'and', 'the', 'use', 'of', 'computing', 'tecnologies', 'for', 'the', 'research', ',', 'teaching', 'and', 'investigation', 'in', 'the', 'disciplines', 'of', 'the', 'humanities', '.']",2012,24,0,0.0
"Practice of digital creation (design, editorial practice, architecture), and/or digital analysis (e.g. text analysis or distant reading) and/or analysis and critique of digital texts (e.g, games or social media or theorizing structures such as databases or semantic markup)",Allison Muri,2012-01-01,99,"practice of digital creation (design, editorial practice, architecture), and/or digital analysis (e.g. text analysis or distant reading) and/or analysis and critique of digital texts (e.g, games or social media or theorizing structures such as databases or semantic markup)","['practice', 'of', 'digital', 'creation', '(', 'design', ',', 'editorial', 'practice', ',', 'architecture', ')', ',', 'and/or', 'digital', 'analysis', '(', 'e.g', '.', 'text', 'analysis', 'or', 'distant', 'reading', ')', 'and/or', 'analysis', 'and', 'critique', 'of', 'digital', 'texts', '(', 'e.g', ',', 'games', 'or', 'social', 'media', 'or', 'theorizing', 'structures', 'such', 'as', 'databases', 'or', 'semantic', 'markup', ')']",2012,49,0,0.0
"Any use of digital technologies that significantly informs research, presentation, or process of humanities based fields and the study thereof.",John Simpson,2012-01-01,100,"any use of digital technologies that significantly informs research, presentation, or process of humanities based fields and the study thereof.","['any', 'use', 'of', 'digital', 'technologies', 'that', 'significantly', 'informs', 'research', ',', 'presentation', ',', 'or', 'process', 'of', 'humanities', 'based', 'fields', 'and', 'the', 'study', 'thereof', '.']",2012,23,0,0.0
Not sure!,Lorna Richardson,2012-01-01,101,not sure!,"['not', 'sure', '!']",2012,3,0,0.0
The use of information technology in the conduct and presentation of humanities teaching and research.,Paul A. Youngman,2012-01-01,102,the use of information technology in the conduct and presentation of humanities teaching and research.,"['the', 'use', 'of', 'information', 'technology', 'in', 'the', 'conduct', 'and', 'presentation', 'of', 'humanities', 'teaching', 'and', 'research', '.']",2012,16,0,0.0
"A group of computer-related strategies and tactics that humanists use to accomplish their goals (from research and reading to writing and teaching, etc.).",Harvey Quamen,2012-01-01,103,"a group of computer-related strategies and tactics that humanists use to accomplish their goals (from research and reading to writing and teaching, etc.).","['a', 'group', 'of', 'computer-related', 'strategies', 'and', 'tactics', 'that', 'humanists', 'use', 'to', 'accomplish', 'their', 'goals', '(', 'from', 'research', 'and', 'reading', 'to', 'writing', 'and', 'teaching', ',', 'etc', '.', ')', '.']",2012,28,0,0.0
The wide and diverse process in which the study of humanities will remain relevant.,Kurt Hochenauer,2012-01-01,104,the wide and diverse process in which the study of humanities will remain relevant.,"['the', 'wide', 'and', 'diverse', 'process', 'in', 'which', 'the', 'study', 'of', 'humanities', 'will', 'remain', 'relevant', '.']",2012,15,0,0.0
The Digital Humanities is humanities in the twenty-first century.,Edmond Chang,2012-01-01,105,the digital humanities is humanities in the twenty-first century.,"['the', 'digital', 'humanities', 'is', 'humanities', 'in', 'the', 'twenty-first', 'century', '.']",2012,10,0,0.0
I have a vague recollection of a few discussions on this matter.,Alejandro Giacometti,2012-01-01,106,i have a vague recollection of a few discussions on this matter.,"['i', 'have', 'a', 'vague', 'recollection', 'of', 'a', 'few', 'discussions', 'on', 'this', 'matter', '.']",2012,13,0,0.0
"Combination of the inquiring spirit of the humanities, the field of critical pedagogy (Freire et al.), and the practices of new media culture.",Pete Rorabaugh,2012-01-01,107,"combination of the inquiring spirit of the humanities, the field of critical pedagogy (freire et al.), and the practices of new media culture.","['combination', 'of', 'the', 'inquiring', 'spirit', 'of', 'the', 'humanities', ',', 'the', 'field', 'of', 'critical', 'pedagogy', '(', 'freire', 'et', 'al', '.', ')', ',', 'and', 'the', 'practices', 'of', 'new', 'media', 'culture', '.']",2012,29,0,0.0
Application of computational technology and approaches to traditional and novel problems in the social sciences and humanities.,Daniel Paul O'Donnell,2012-01-01,108,application of computational technology and approaches to traditional and novel problems in the social sciences and humanities.,"['application', 'of', 'computational', 'technology', 'and', 'approaches', 'to', 'traditional', 'and', 'novel', 'problems', 'in', 'the', 'social', 'sciences', 'and', 'humanities', '.']",2012,18,0,0.0
Digital humanities are a new engaging way to to preserve and communicate the past.,Letizia Ceccarelli,2012-01-01,109,digital humanities are a new engaging way to to preserve and communicate the past.,"['digital', 'humanities', 'are', 'a', 'new', 'engaging', 'way', 'to', 'to', 'preserve', 'and', 'communicate', 'the', 'past', '.']",2012,15,0,0.0
"The use of digital tools to digitize, manage, analyze and disseminate information and research related to the humanities, or in my specific case, history.",Léon Robichaud,2012-01-01,110,"the use of digital tools to digitize, manage, analyze and disseminate information and research related to the humanities, or in my specific case, history.","['the', 'use', 'of', 'digital', 'tools', 'to', 'digitize', ',', 'manage', ',', 'analyze', 'and', 'disseminate', 'information', 'and', 'research', 'related', 'to', 'the', 'humanities', ',', 'or', 'in', 'my', 'specific', 'case', ',', 'history', '.']",2012,29,1,0.034482758620689655
"For me, a Digital Humanist is one who uses digital tools as a way of investigating the issues that make up the studies in the humanities. Many Digital Humanists, myself included, are especially interested in digital texts, and the unique interactions readers have with these texts.",Matt Schneider,2012-01-01,111,"for me, a digital humanist is one who uses digital tools as a way of investigating the issues that make up the studies in the humanities. many digital humanists, myself included, are especially interested in digital texts, and the unique interactions readers have with these texts.","['for', 'me', ',', 'a', 'digital', 'humanist', 'is', 'one', 'who', 'uses', 'digital', 'tools', 'as', 'a', 'way', 'of', 'investigating', 'the', 'issues', 'that', 'make', 'up', 'the', 'studies', 'in', 'the', 'humanities', '.', 'many', 'digital', 'humanists', ',', 'myself', 'included', ',', 'are', 'especially', 'interested', 'in', 'digital', 'texts', ',', 'and', 'the', 'unique', 'interactions', 'readers', 'have', 'with', 'these', 'texts', '.']",2012,52,1,0.019230769230769232
A multifaceted disciplinary field where humanities interests and research questions are addressed through computing and/or find an expression in the digital medium.,Raffaele Viglianti,2012-01-01,112,a multifaceted disciplinary field where humanities interests and research questions are addressed through computing and/or find an expression in the digital medium.,"['a', 'multifaceted', 'disciplinary', 'field', 'where', 'humanities', 'interests', 'and', 'research', 'questions', 'are', 'addressed', 'through', 'computing', 'and/or', 'find', 'an', 'expression', 'in', 'the', 'digital', 'medium', '.']",2012,23,0,0.0
"Using digital technologies, not only ICT, to communicate and research within the humanities",NgunnawalJack,2012-01-01,113,"using digital technologies, not only ict, to communicate and research within the humanities","['using', 'digital', 'technologies', ',', 'not', 'only', 'ict', ',', 'to', 'communicate', 'and', 'research', 'within', 'the', 'humanities']",2012,15,0,0.0
"What sets Digital Humanities apart, for me, is its genuine interdisciplinarity, its permanent emergence, and its open communication.",Christof Schöch,2012-01-01,114,"what sets digital humanities apart, for me, is its genuine interdisciplinarity, its permanent emergence, and its open communication.","['what', 'sets', 'digital', 'humanities', 'apart', ',', 'for', 'me', ',', 'is', 'its', 'genuine', 'interdisciplinarity', ',', 'its', 'permanent', 'emergence', ',', 'and', 'its', 'open', 'communication', '.']",2012,23,0,0.0
Innovative ways of seeing the humanities and communicating with others,William Allen,2012-01-01,115,innovative ways of seeing the humanities and communicating with others,"['innovative', 'ways', 'of', 'seeing', 'the', 'humanities', 'and', 'communicating', 'with', 'others']",2012,10,0,0.0
The use of computational techniques in the humanities that would allow research that is otherwise impossible.,Melissa Terras,2012-01-01,116,the use of computational techniques in the humanities that would allow research that is otherwise impossible.,"['the', 'use', 'of', 'computational', 'techniques', 'in', 'the', 'humanities', 'that', 'would', 'allow', 'research', 'that', 'is', 'otherwise', 'impossible', '.']",2012,17,0,0.0
"A range of definitions (or rather, ways of understanding): humanities explored using a range of digital technologies for explanation, expression, reflection and knowledge production/creation.",Nehal El-Hadi,2012-01-01,117,"a range of definitions (or rather, ways of understanding): humanities explored using a range of digital technologies for explanation, expression, reflection and knowledge production/creation.","['a', 'range', 'of', 'definitions', '(', 'or', 'rather', ',', 'ways', 'of', 'understanding', ')', ':', 'humanities', 'explored', 'using', 'a', 'range', 'of', 'digital', 'technologies', 'for', 'explanation', ',', 'expression', ',', 'reflection', 'and', 'knowledge', 'production/creation', '.']",2012,31,0,0.0
"I'm a committed DH Big Tenter, and believe (at least at this point in our history) that we can find room in the field for almost anyone who self-identifies as a DHer. That said, for me personally, DH is either 1) any digital approach to humanistic objects, or, 2) any humanistic approach to digital objects.",Glen Worthey,2012-01-01,118,"i'm a committed dh big tenter, and believe (at least at this point in our history) that we can find room in the field for almost anyone who self-identifies as a dher. that said, for me personally, dh is either 1) any digital approach to humanistic objects, or, 2) any humanistic approach to digital objects.","['i', ""'m"", 'a', 'committed', 'dh', 'big', 'tenter', ',', 'and', 'believe', '(', 'at', 'least', 'at', 'this', 'point', 'in', 'our', 'history', ')', 'that', 'we', 'can', 'find', 'room', 'in', 'the', 'field', 'for', 'almost', 'anyone', 'who', 'self-identifies', 'as', 'a', 'dher', '.', 'that', 'said', ',', 'for', 'me', 'personally', ',', 'dh', 'is', 'either', '1', ')', 'any', 'digital', 'approach', 'to', 'humanistic', 'objects', ',', 'or', ',', '2', ')', 'any', 'humanistic', 'approach', 'to', 'digital', 'objects', '.']",2012,67,0,0.0
Digital Humanities is a community of people who use and develop digital tools and methods to ask and answer new and old questions about the source base for humanistic inquiry.,Jean Bauer,2012-01-01,119,digital humanities is a community of people who use and develop digital tools and methods to ask and answer new and old questions about the source base for humanistic inquiry.,"['digital', 'humanities', 'is', 'a', 'community', 'of', 'people', 'who', 'use', 'and', 'develop', 'digital', 'tools', 'and', 'methods', 'to', 'ask', 'and', 'answer', 'new', 'and', 'old', 'questions', 'about', 'the', 'source', 'base', 'for', 'humanistic', 'inquiry', '.']",2012,31,1,0.03225806451612903
I don't.,Paul Caton,2012-01-01,120,i don't.,"['i', 'do', ""n't"", '.']",2012,4,0,0.0
Research and teaching relating to digital resources in Humanities.,Cate Mackay,2012-01-01,121,research and teaching relating to digital resources in humanities.,"['research', 'and', 'teaching', 'relating', 'to', 'digital', 'resources', 'in', 'humanities', '.']",2012,10,0,0.0
The great opportunity to burn down academic walls,Enrica Salvatori,2012-01-01,122,the great opportunity to burn down academic walls,"['the', 'great', 'opportunity', 'to', 'burn', 'down', 'academic', 'walls']",2012,8,0,0.0
Disciplines of humanities developed through digital computing.,Dale Kim,2012-01-01,123,disciplines of humanities developed through digital computing.,"['disciplines', 'of', 'humanities', 'developed', 'through', 'digital', 'computing', '.']",2012,8,0,0.0
Any application of digital technology to enable or enhance humanistic inquiry and any humanistic inquiry into aspects of digital technology.,Hugh Cayless,2012-01-01,124,any application of digital technology to enable or enhance humanistic inquiry and any humanistic inquiry into aspects of digital technology.,"['any', 'application', 'of', 'digital', 'technology', 'to', 'enable', 'or', 'enhance', 'humanistic', 'inquiry', 'and', 'any', 'humanistic', 'inquiry', 'into', 'aspects', 'of', 'digital', 'technology', '.']",2012,21,0,0.0
"It is what I do on Mondays, Wednesdays and Fridays.",Camelia Nunez,2012-01-01,125,"it is what i do on mondays, wednesdays and fridays.","['it', 'is', 'what', 'i', 'do', 'on', 'mondays', ',', 'wednesdays', 'and', 'fridays', '.']",2012,12,0,0.0
The digital humanities seek to harmonize the social and technological revolution of the Internet with the traditional preoccupation of the humanities for human and cultural problems as they happen at the scale of the human being,Juan Luis Suarez,2012-01-01,126,the digital humanities seek to harmonize the social and technological revolution of the internet with the traditional preoccupation of the humanities for human and cultural problems as they happen at the scale of the human being,"['the', 'digital', 'humanities', 'seek', 'to', 'harmonize', 'the', 'social', 'and', 'technological', 'revolution', 'of', 'the', 'internet', 'with', 'the', 'traditional', 'preoccupation', 'of', 'the', 'humanities', 'for', 'human', 'and', 'cultural', 'problems', 'as', 'they', 'happen', 'at', 'the', 'scale', 'of', 'the', 'human', 'being']",2012,36,0,0.0
I would describe digital humanities as the incorporation of new tools and technologies that allow us to ask various kinds of humanities questions as well as to use humanistic inquiry to reflect on the tools themselves and the changing practices of communication.,Jen Rajchel,2012-01-01,127,i would describe digital humanities as the incorporation of new tools and technologies that allow us to ask various kinds of humanities questions as well as to use humanistic inquiry to reflect on the tools themselves and the changing practices of communication.,"['i', 'would', 'describe', 'digital', 'humanities', 'as', 'the', 'incorporation', 'of', 'new', 'tools', 'and', 'technologies', 'that', 'allow', 'us', 'to', 'ask', 'various', 'kinds', 'of', 'humanities', 'questions', 'as', 'well', 'as', 'to', 'use', 'humanistic', 'inquiry', 'to', 'reflect', 'on', 'the', 'tools', 'themselves', 'and', 'the', 'changing', 'practices', 'of', 'communication', '.']",2012,43,2,0.046511627906976744
Digital humanities is whatever we make it to be. (With apologies to D. Boon http://www.hootpage.com/hoot_dboonsticker.html ),George H. Williams,2012-01-01,128,digital humanities is whatever we make it to be. (with apologies to d. boon http://www.hootpage.com/hoot_dboonsticker.html ),"['digital', 'humanities', 'is', 'whatever', 'we', 'make', 'it', 'to', 'be', '.', '(', 'with', 'apologies', 'to', 'd.', 'boon', 'http', ':', '//www.hootpage.com/hoot_dboonsticker.html', ')']",2012,20,0,0.0
"The conscious use of digital methods and tools to do humanities teaching or research. Also, the study of these methodologies and tools.",Elli Mylonas,2012-01-01,129,"the conscious use of digital methods and tools to do humanities teaching or research. also, the study of these methodologies and tools.","['the', 'conscious', 'use', 'of', 'digital', 'methods', 'and', 'tools', 'to', 'do', 'humanities', 'teaching', 'or', 'research', '.', 'also', ',', 'the', 'study', 'of', 'these', 'methodologies', 'and', 'tools', '.']",2012,25,2,0.08
"Digital Humanity is a way of organizing data and visualize it in a more coherent pattern, it presents textural content in many different ways in various digital forms. The purpose of Digital Humanities to me is to find more potential and profound meanings from these new tools.",Szuting,2012-01-01,130,"digital humanity is a way of organizing data and visualize it in a more coherent pattern, it presents textural content in many different ways in various digital forms. the purpose of digital humanities to me is to find more potential and profound meanings from these new tools.","['digital', 'humanity', 'is', 'a', 'way', 'of', 'organizing', 'data', 'and', 'visualize', 'it', 'in', 'a', 'more', 'coherent', 'pattern', ',', 'it', 'presents', 'textural', 'content', 'in', 'many', 'different', 'ways', 'in', 'various', 'digital', 'forms', '.', 'the', 'purpose', 'of', 'digital', 'humanities', 'to', 'me', 'is', 'to', 'find', 'more', 'potential', 'and', 'profound', 'meanings', 'from', 'these', 'new', 'tools', '.']",2012,50,1,0.02
"I define DH thanks to the DH Manifesto : '. Society's digital turn changes and calls into question the conditions of knowledge production and distribution. 2. For us, the digital humanities concern the totality of the social sciences and humanities. The digital humanities are not tabula rasa. On the contrary, they rely on all the paradigms, savoir-faire and knowledge specific to these disciplines, while mobilizing the tools and unique perspectives enabled by digital technology. 3. The digital humanities designate a 'transdiscipline', embodying all the methods, systems and heuristic perspectives linked to the digital within the fields of humanities and the social sciences.' http://tcp.hypotheses.org/411",Marin Dacos,2012-01-01,131,"i define dh thanks to the dh manifesto : '. society's digital turn changes and calls into question the conditions of knowledge production and distribution. 2. for us, the digital humanities concern the totality of the social sciences and humanities. the digital humanities are not tabula rasa. on the contrary, they rely on all the paradigms, savoir-faire and knowledge specific to these disciplines, while mobilizing the tools and unique perspectives enabled by digital technology. 3. the digital humanities designate a 'transdiscipline', embodying all the methods, systems and heuristic perspectives linked to the digital within the fields of humanities and the social sciences.' http://tcp.hypotheses.org/411","['i', 'define', 'dh', 'thanks', 'to', 'the', 'dh', 'manifesto', ':', ""'"", '.', 'society', ""'s"", 'digital', 'turn', 'changes', 'and', 'calls', 'into', 'question', 'the', 'conditions', 'of', 'knowledge', 'production', 'and', 'distribution', '.', '2.', 'for', 'us', ',', 'the', 'digital', 'humanities', 'concern', 'the', 'totality', 'of', 'the', 'social', 'sciences', 'and', 'humanities', '.', 'the', 'digital', 'humanities', 'are', 'not', 'tabula', 'rasa', '.', 'on', 'the', 'contrary', ',', 'they', 'rely', 'on', 'all', 'the', 'paradigms', ',', 'savoir-faire', 'and', 'knowledge', 'specific', 'to', 'these', 'disciplines', ',', 'while', 'mobilizing', 'the', 'tools', 'and', 'unique', 'perspectives', 'enabled', 'by', 'digital', 'technology', '.', '3.', 'the', 'digital', 'humanities', 'designate', 'a', ""'transdiscipline"", ""'"", ',', 'embodying', 'all', 'the', 'methods', ',', 'systems', 'and', 'heuristic', 'perspectives', 'linked', 'to', 'the', 'digital', 'within', 'the', 'fields', 'of', 'humanities', 'and', 'the', 'social', 'sciences', '.', ""'"", 'http', ':', '//tcp.hypotheses.org/411']",2012,120,1,0.008333333333333333
As little as possible.,Andrew Prescott,2012-01-01,132,as little as possible.,"['as', 'little', 'as', 'possible', '.']",2012,5,0,0.0
"The best way to describe ‘digital humanities’ is the intersection between human cognition and computing. ‘Human cognition’ can seem like a vague term but it encompasses topics such as art, literature, history, music, theatre, religion, philosophy, etc… Digital humanities could be considered an interdisciplinary topic as any of the aforementioned humanities can be synthesized into a digital form.",Brendan Cecere,2012-01-01,133,"the best way to describe ‘digital humanities’ is the intersection between human cognition and computing. ‘human cognition’ can seem like a vague term but it encompasses topics such as art, literature, history, music, theatre, religion, philosophy, etc… digital humanities could be considered an interdisciplinary topic as any of the aforementioned humanities can be synthesized into a digital form.","['the', 'best', 'way', 'to', 'describe', '‘', 'digital', 'humanities', '’', 'is', 'the', 'intersection', 'between', 'human', 'cognition', 'and', 'computing', '.', '‘', 'human', 'cognition', '’', 'can', 'seem', 'like', 'a', 'vague', 'term', 'but', 'it', 'encompasses', 'topics', 'such', 'as', 'art', ',', 'literature', ',', 'history', ',', 'music', ',', 'theatre', ',', 'religion', ',', 'philosophy', ',', 'etc…', 'digital', 'humanities', 'could', 'be', 'considered', 'an', 'interdisciplinary', 'topic', 'as', 'any', 'of', 'the', 'aforementioned', 'humanities', 'can', 'be', 'synthesized', 'into', 'a', 'digital', 'form', '.']",2012,71,0,0.0
DH represent the point (or an area of research) where traditional humanities disciplines connect and merge with digital technologies.,Eleonora Gandolfi,2012-01-01,134,dh represent the point (or an area of research) where traditional humanities disciplines connect and merge with digital technologies.,"['dh', 'represent', 'the', 'point', '(', 'or', 'an', 'area', 'of', 'research', ')', 'where', 'traditional', 'humanities', 'disciplines', 'connect', 'and', 'merge', 'with', 'digital', 'technologies', '.']",2012,22,0,0.0
The Digital Humanities is 1) the use of digital technology to facilitate and enhance all stages of humanities scholarship and 2) the humanities-grounded study digital technology.,Jason Boyd,2012-01-01,135,the digital humanities is 1) the use of digital technology to facilitate and enhance all stages of humanities scholarship and 2) the humanities-grounded study digital technology.,"['the', 'digital', 'humanities', 'is', '1', ')', 'the', 'use', 'of', 'digital', 'technology', 'to', 'facilitate', 'and', 'enhance', 'all', 'stages', 'of', 'humanities', 'scholarship', 'and', '2', ')', 'the', 'humanities-grounded', 'study', 'digital', 'technology', '.']",2012,29,0,0.0
A strange question. The only winning move is not to answer.,Jeremy Boggs,2012-01-01,136,a strange question. the only winning move is not to answer.,"['a', 'strange', 'question', '.', 'the', 'only', 'winning', 'move', 'is', 'not', 'to', 'answer', '.']",2012,13,0,0.0
I try not to,Boone Gorges,2012-01-01,137,i try not to,"['i', 'try', 'not', 'to']",2012,4,0,0.0
"1. n. a field of study, research and teaching focused on the intersection of computing and disciplines in the humanities. It involves the investigation, analysis, synthesis and presentation of information in electronic form. 2. v. thinking in multimodal ways. not necessarily involving digital or electronic technologies. 3. adj. increasing access changes representation; a description of an intensity of reading as in 'a DH reading'",Craig Saper,2012-01-01,138,"1. n. a field of study, research and teaching focused on the intersection of computing and disciplines in the humanities. it involves the investigation, analysis, synthesis and presentation of information in electronic form. 2. v. thinking in multimodal ways. not necessarily involving digital or electronic technologies. 3. adj. increasing access changes representation; a description of an intensity of reading as in 'a dh reading'","['1.', 'n.', 'a', 'field', 'of', 'study', ',', 'research', 'and', 'teaching', 'focused', 'on', 'the', 'intersection', 'of', 'computing', 'and', 'disciplines', 'in', 'the', 'humanities', '.', 'it', 'involves', 'the', 'investigation', ',', 'analysis', ',', 'synthesis', 'and', 'presentation', 'of', 'information', 'in', 'electronic', 'form', '.', '2.', 'v.', 'thinking', 'in', 'multimodal', 'ways', '.', 'not', 'necessarily', 'involving', 'digital', 'or', 'electronic', 'technologies', '.', '3.', 'adj', '.', 'increasing', 'access', 'changes', 'representation', ';', 'a', 'description', 'of', 'an', 'intensity', 'of', 'reading', 'as', 'in', ""'"", 'a', 'dh', 'reading', ""'""]",2012,75,0,0.0
